,Date,changed,title,details,news_score,news_result,average
0,2018-12-31,0.17800000000000002,"Merck, Pfizer top Dow 2018 standings; Goldman Sachs slides to the bottom","
Merck (NYSE:MRK) and Pfizer (NYSE:PFE) finish as the year's top gainers on the Dow Jones Industrial Average, as 14 of the 30 stocks in the index end in the green vs. 25 closing positive a year ago.The top 10 of the Dow 30: 1. Merck, +35.8%, 2. Pfizer, +20.5%, 3. Microsoft (NASDAQ:MSFT)��+18.7%, 4. Nike (NYSE:NKE) +18.5%, 5. Visa (NYSE:V) +15.7%, 6. Cisco (NASDAQ:CSCO)��+13.1%, 7. UnitedHealth (NYSE:UNH) +13%, 8. Boeing (NYSE:BA)��+9.3%, 9. Verizon (NYSE:VZ)��+6.2%, 10. Coca-Cola (NYSE:KO)��+3.2%.11. McDonald's (NYSE:MCD)��+3.2%, 12. Disney (NYSE:DIS)��+2%, 13.��Intel (NASDAQ:INTC)��+1.7%, 14. Procter &��Gamble (NYSE:PG)��+0.1%, 15. American Express (NYSE:AXP)��-4%, 16. Wal-Mart (NYSE:WMT)��-5.7%, 17. Walgreens (NASDAQ:WBA) -5.9%, 18. Apple (NASDAQ:AAPL) -6.8%, 19. Johnson &��Johnson (NYSE:JNJ)��-7.6%, 20. JPMorgan Chase (NYSE:JPM) -8.7%.21. Home Depot (NYSE:HD) -9.3%, 22. Travelers (NYSE:TRV) -11.7%, 23. Chevron (NYSE:CVX) -13.1%, 24. United Technologies (NYSE:UTX) -16.5%, 25. Exxon Mobil (NYSE:XOM) -18.5%, 26. 3M��(NYSE:MMM) -19%, 27. Caterpillar (NYSE:CAT) -19.3%, 28. DowDuPont (NYSE:DWDP) -24.9%, 29. IBM��(NYSE:IBM)��-25.9%, 30. Goldman Sachs (NYSE:GS) -34.4%.General Electric (NYSE:GE), which dropped out of the Dow 30 during 2018, ended -56.6%.Source:��Money.CNN.com ",0.892,positive,0.771609364548495
1,2018-12-18,0.652,"Chips gain on Luxtera acquisition, Micron earnings","
Chip stocks gain with the Philadelphia Semiconductor Index��up��2.2%��after Cisco announced plans to acquire Luxtera. Micron (MU +2.1%) will report earnings after the close today.Barclays analyst Blayne Curtis says the purchase could prove negative for Macom (MTSI +2.3%), which counts Cisco as the lead customer for its PSM4 solution and that MTSI doesn't seem to have much traction outside of Cisco on the product.Curtis sees the acquisition as a modest long-term negative for Inphi (IPHI +2.1%) and says it could put pressure on Intel (INTC +1.8%) and Maxim Integrated (MXIM +0.5%).B. Riley's Dave Kang sees the acquisition as negative for Finisar (FNSR +0.9%) and Applied Optoelectronics (AAOI -8.6%).Previously: Cisco will acquire Luxtera for $660M (Dec. 18) ",0.3791,positive,0.771609364548495
2,2018-12-18,0.652,Analyst positive on Ambarella's Hella deal; AMBA +3%,"
Morgan Stanley analyst Joseph Moore says Ambarella (NASDAQ:AMBA) deal with Hella to deliver a platform for next-gen advanced driver assistance systems has substantial strategic value and ""will take on Mobileye (NASDAQ:INTC) for 2021 model year and beyond.""Moore says it will take time for this to drive revenue growth, but he expects strength in the auto segment in the interim.AMBA remains the firm's favorite small cap idea, despite recent pressures.Rating maintained at Overweight with a $50 target.Source: Bloomberg First Word.AMBA shares are��up 3%��to $38.20. ",0.9268,positive,0.771609364548495
3,2018-12-18,0.652,Arm launches chip to take on Intel,"
SoftBank's��(OTCPK:SFTBF, OTCPK:SFTBY)��Arm Holdings unveils the new Cortex-A65AE chip for self-driving car sensors.The product follows September's introduction of Arm's first auto-focused chip, the��Cortex-A76AE, which included a Split Lock safety feature that keeps the cores from splitting work, so they perform the same operations simultaneously, double checking the work to prevent errors.The new chip has Split Lock, enhanced features to process sensor data quickly, and a pathway for speedy connection to GPUsCompetitor: Intel's (INTC +1.8%) Mobileye self-driving car unit. ",0.9289,positive,0.771609364548495
4,2018-12-13,0.45399999999999996,Intel signs $100M esports deal,"
Intel (NASDAQ:INTC) and esports company ESL sign a three-year, $100M deal that will have Intel supplying its processors and 5G for top electronic sports events through 2021.The companies will also collaborate to launch new esport events.Intel has sponsored ESL events for nearly two decades. ",0.5827,positive,0.771609364548495
5,2018-12-12,0.444,"Intel announces Sunny Cove, teraflop integrated graphics","
Intel's (INTC +1.5%) ""Architecture Day"" highlights started with the new 3D stacking logic chips called Foveros but didn't end there. Other highlights:The Sunny Cove next-gen CPU microarchitecture for general computing and high-performance AI tasks, which will be the basis for the next-gen Xeon server and Core client processors coming later next year.Gen11 integrated graphics with 64 enhanced execution units (more than doubled from Gen9) designed to break the 1 TFLOPS barrier. Gen11 will come to 10nm processors starting next year.Intel reaffirms plans to release a discrete graphics processor by 2020.New Optane-based products include Optane DC persistent memory, which ""converges memory-like performance with the data persistence and large capacity of storage.""Previously: Intel develops stackable logic chips (Dec. 12) ",0.9271,positive,0.771609364548495
6,2018-12-12,0.444,Intel develops stackable logic chips,"
Intel (INTC +1.4%)��says it has developed a way to stack its computing chips, which get a speed boost at smaller sizes, in a bid to win market share back from TSMC (TSM +1.8%).Stacking has been done before, but Intel says it's the first to do so with logic chips.Intel has fallen behind schedule on its chip launches in recent years with its 10nm chips pushed back until 4Q19, opening a competitive door for rival AMD.Intel rivals Qualcomm and Nvidia abandoned chip manufacturing and outsource to TSMC, which launched its newest generation of chipmaking tech earlier this year.The stacking tech will become available in 2H19. The tech will also allow Intel to break up chip designs into smaller units or chiplets so that different types of chips can be stacked in different combinations, allowing Intel to meet more customer needs. ",0.7476,positive,0.771609364548495
7,2018-12-11,0.168,Cowen: AMD a top pick for 2019,"
Cowen analyst Matthew Ramsay names AMD (NASDAQ:AMD) as one of the firm's best ideas for 2019 citing the move to 7nm.Ramsay says the refresh will signify AMD's ""first manufacturing advantage over Intel (NASDAQ:INTC)"" and continue executing the company's ""strategic vision.""The analyst notes that 1H19 will have a ""difficult set-up"" on the end of the crypto mining boom, but that headwind won't stop AMD from picking up business in other areas.AMD shares are��up 0.9%��to $20.18. ",0.866,positive,0.771609364548495
8,2018-12-11,0.168,Amazon plans chips in Intel's territory,"
The New York Times reports on Amazon's (AMZN +1.3%) plans to create in-house data center chips, putting the e-commerce giant into Intel's (INTC +2.5%) wheelhouse.Amazon won't sell the chips to consumers and won't produce all of the chips it needs. But the move can increase Amazon's bargaining power with Intel, which has dominated the server chip market for years.About 35% of server chips in the world go to 10 companies, according to IDC data. And Intel holds about 97% of that market.Amazon isn't the first company to go it (mostly) alone on chips, and the company already has the AI-focused Inferentia chip.��Google has designed in-house AI chips. Facebook and Microsoft are working on similar chips. Apple built its first custom iPhone chip four years ago. ",0.9057,positive,0.771609364548495
9,2018-12-11,0.168,Invesco QQQ ETF (QQQ) November Summary,"
November monthly performance was: -1.96%AUM of $66B52-week performance vs. the S&P 500 is: +5%$0.33 in dividends were paid in NovemberTop 10 Holdings as of 11/29/2018: Apple Inc (AAPL): 10.91098%, Microsoft Corp (MSFT): 10.63103%, Amazon.com Inc (AMZN): 10.26999%, Alphabet Inc Class C (GOOG): 4.79084%, Facebook Inc A (FB): 4.20797%, Alphabet Inc A (GOOGL): 4.11657%, Cisco Systems Inc (CSCO): 2.80112%, Intel Corp (INTC): 2.76728%, Comcast Corp Class A (CMCSA): 2.26782%, PepsiCo Inc (PEP): 2.10457% ",0.6276,positive,0.771609364548495
